id,document,label
3764100,정말 쉽게 잊혀지지 않을 것 같은 최고의 영화~!,긍정
9588690,결말이 흐뭇한 이야기..,긍정
6155841,와~~이거 너무하자나...2시간이 아깝다.,부정
8920418,용두사미의 전형적인 예,부정
125747,재미있어요. 꼭 보세요.,긍정
6012732,갑자기 왜 막판에 트렁크에 들어가서 뻘짓이지 -_- 왜지... 왜???,부정
8549999,볼만합니다ㅋ 재밌어요,긍정
7564296,유역비가 이뻐서 10점 이고 나머진 전혀 볼게업음,긍정
424559,"몰랐던 역사적사실을 일깨워준 영화,...안재모연기 좋았음^*^",긍정
6758539,도둑들 같은 개쓰렉이 같은 영화랑 정말 비교됨. 어디서 가이리치 스탈을 따라해,긍정
8319602,클라이막스때 약간의 재미를 제외하곤 그다지....라이언 레이놀즈가 아깝다~,부정
6043705,맘마미아 같은 영화를 생각해서였나? 전 좀 별로네여..,부정
2422487,시대를 뛰어넘는 획기적은 SF효과. 애니메이션효과.,긍정
9141219,공포를 먹고 사는 사회. 다른 나라 이야기 같지가 않다.,긍정
7984683,너무 재미있어요 다음주가 벌써기다려지네요^^,긍정
10235845,그니깐 저 원숭이들이 일본으로 도망쳤다 이거죠? 일본원숭이들!,긍정
3925007,태국에 이런 반전영화가 있다니 ㄷㄷ 여주인공도 이쁘네 ㅋㅋ,긍정
5456951,저도 기독교지만 말함부로하면 하나님께서 매를 드십니다 말조심해주세요~,부정
8512378,40살까지 아낀 총각딱지 뗀다는 걸 겨우 발정난 유부녀에게 바치다니 그것도 애딸린.,부정
6811641,재밌다 걍 봐라 OO가,긍정
9083260,어른이 보기엔 좀 심심했지만 아이가 넘 좋아해서 10점예요.,긍정
8709766,개판..ㅡㅡ..보지마시길 시간낭비,부정
9116494,음 왜 1점을 주는 거지 그렇게 까지 엉망인 영화는아닌데 7점은 돼야지....,긍정
3007878,"껄그러운 진행과 어색한 연기, 많이 부족하다.",부정
1596936,장난하냐? 계몽영화도 이정도는 아닐듯.,부정
9354849,잘봤어요 한번 생각해보게되네요,긍정
4001120,재밋당 근데 19세는아닌거ㄱ같은데ㅠㅠ?,긍정
9708422,아이들에게 지식과 재미를 동시에 줄수 있는 영화인듯하네요~설날에 아이들과 보기 딱인듯~,긍정
9411337,윽... 그다지 감동적이지도 않고 재미도 없고.,부정
10274298,조카들 보여주면서 참 뿌뜻하게 만드는 영화네요,긍정
9602167,이건 진짜 하다하다 감독도포기했나보다 막판에 존나웃김ㅋㅋㅋ 악마가 gta,부정
10224582,시간의 의미를 되새기는 애니메이션..보고나니 마음이 짠하다.,긍정
9257450,기적이니 뭐니 과장되지않은 지구종말의 이야기를 꾸밈없이 그린 영화.,긍정
7712776,한국영화가...조금은...발전을 하는듯하였는데....,부정
9294913,쓰레기 플롯. 옆집부부한테 러닝타임 절반의 비중을 두다니?,부정
8578688,주기도아깝다 리얼진짜개노잼,부정
5035418,"커피와 담배의 유혹, 담백한 대화들, 덤으로 재치를 섞었다.",긍정
225048,"외국배우는 모조리 3류배우로 연기꽝,스토리꽝~",부정
1718990,완전한 사랑? 웃기시네... 너무도 더러운 영화.,부정
9484821,아..아이돌은 제발...사극만은 건드리지 마라주라..,부정
9066112,난 잘 모르겠다. 기억나는 장면도 없고 그냥 지루.,부정
4934373,난 이런 홍상수 스타일이 좋다,긍정
4509961,기술이 이야기를 삼키는 주객전도의 표본.,부정
5553782,소설의 일부분만 차용한 허접한 영화,부정
9881875,"...진짜 오금 저림 ,,이따구 영화가 있다는 게...",부정
8680028,"감독의 명치를 때리고 싶은 영화, Z급 영화라는게 실존 할 줄이야 생각도 못했다.",부정
6006868,애니가 훨씬 낫다는생각과 괜히봤다는 생각밖에 안남겨준 영화,부정
3100786,다시 보고싶은영화 따뜻해요 스스로 어디에 붕대를 감아야 할지 생각해보게하는 영화,긍정
7406476,어디서 웃어야 하는지,부정
9981739,보면서 은근히 내가 설레는적도 많았고 웃긴장면도 많앗곸ㅋㅋㅋㅋ,긍정
8313051,정말 좋은 영화로 추천!!@_@,긍정
8139626,영화볼때 대사 하나 안놓치고 보는데 이건 그냥 계속 스킵했음,부정
8108325,이걸 재밌다는 사람들은 도대체 뭐지?,부정
4616857,차라리 친구가 더 예쁘다;;,부정
2481715,"영훤히 기억될 이름. 이은주. 두번봤는데, 볼수록 슬픈영화.",긍정
5687412,진짜 최고..ㅠㅠ박영규 너무 좋아~!!아흐!!,긍정
5321736,저예산영화의 수치다..,부정
9590913,홍경인 좋은 배우인데.. 감독한데 속아서 3류영화 찍네,부정
2955500,"작품성이 어쨌네, 배우들의 연기가 어쨌네 말은 않겠지만, 정말 지루하다.",부정
5028070,"짜임새있는 스토리와 지루함없는 전개가 좋았으나, 마무리가 2% 부족한점.",긍정
9942019,솔직히 기대안했는데 이제까지본 일본영화중에 이게 최고다,긍정
9666610,형식상의 새로움과 자극적인 소재로 무장해 별 볼일없는 서사까지도 높게 평가를 받는것같다.,부정
6797959,유승기 언제쯤 정신차릴까요? ㅋㅋ 서인국 연기 너무 잘한다~^^,긍정
8113576,쇼리 예뻐서 무조건 10점,긍정
